Temperature,L,R,A_M,Color,Spectral_Class,Type
3068,0.0024,0.17,16.12,Red,M,0
3042,5e-4,0.1542,16.6,Red,M,0
2600,3e-4,0.102,18.7,Red,M,0
2800,2e-4,0.16,16.65,Red,M,0
1939,1.38e-4,0.103,20.06,Red,M,0
2840,6.5e-4,0.11,16.98,Red,M,0
2637,7.3e-4,0.127,17.22,Red,M,0
2600,4e-4,0.096,17.4,Red,M,0
2650,6.9e-4,0.11,17.45,Red,M,0
2700,1.8e-4,0.13,16.05,Red,M,0
3600,0.0029,0.51,10.69,Red,M,1
3129,0.0122,0.3761,11.79,Red,M,1
3134,4e-4,0.196,13.21,Red,M,1
3628,0.0055,0.393,10.48,Red,M,1
2650,6e-4,0.14,11.782,Red,M,1
3340,0.0038,0.24,13.07,Red,M,1
2799,0.0018,0.16,14.79,Red,M,1
3692,0.00367,0.47,10.8,Red,M,1
3192,0.00362,0.1967,13.53,Red,M,1
3441,0.039,0.351,11.18,Red,M,1
25000,0.056,0.0084,10.58,Blue,B,2
7740,4.9e-4,0.01234,14.02,Yellow,A,2
7220,1.7e-4,0.011,14.23,Yellow,F,2
8500,5e-4,0.01,14.5,Yellow,A,2
16500,0.013,0.014,11.89,Blue,B,2
12990,8.5e-5,0.00984,12.23,Yellow,F,2
8570,8.1e-4,0.0097,14.2,Blue,A,2
7700,1.1e-4,0.0128,14.47,Yellow,F,2
11790,1.5e-4,0.011,12.59,Yellow,F,2
7230,8e-5,0.013,14.08,Yellow,F,2
39000,204000,10.6,-4.7,Blue,O,3
30000,28840,6.3,-4.2,Blue,B,3
15276,1136,7.2,-1.97,Blue,B,3
9700,74,2.89,0.16,Yellow,B,3
5800,0.81,0.9,5.05,Yellow,F,3
8052,8.7,1.8,2.42,Yellow,A,3
6757,1.43,1.12,2.41,Yellow,F,3
6380,1.35,0.98,2.93,Yellow,F,3
5936,1.357,1.106,4.46,Yellow,F,3
5587,0.819,0.99,5.03,Yellow,F,3
3826,200000,19,-6.93,Red,M,4
3365,340000,23,-6.2,Red,M,4
3270,150000,88,-6.02,Red,M,4
3200,195000,17,-7.22,Red,M,4
3008,280000,25,-6,Red,M,4
3600,320000,29,-6.6,Red,M,4
3575,123000,45,-6.78,Red,M,4
3574,200000,89,-5.24,Red,M,4
3625,184000,84,-6.74,Red,M,4
33750,220000,26,-6.1,Blue,B,4
3490,270000,1520,-9.4,Red,M,5
3750,283000,1260,-7.63,Red,M,5
3834,272000,1183,-9.2,Red,M,5
3749,550000,1648,-8.05,Yellow,M,5
3650,310000,1324,-7.79,Red,M,5
3450,263000,1349,-11.75,Red,M,5
3660,363000,1673,-11.92,Red,M,5
3450,174000,1284,-11.28,Red,M,5
3752,209000,955,-11.24,Red,M,5
3535,195000,1546,-11.36,Red,M,5
3341,0.0056,0.057,16.23,Red,M,0
3432,6.7e-4,0.19,16.94,Red,M,0
2983,2.4e-4,0.094,16.09,Red,M,0
2835,3.4e-4,0.0918,16.96,Red,M,0
2935,1.4e-4,0.116,18.89,Red,M,0
3295,9.8e-4,0.132,17.13,Red,M,0
2945,3.2e-4,0.093,18.34,Red,M,0
2817,9.8e-4,0.0911,16.45,Red,M,0
2774,3.6e-4,0.118,17.39,Red,M,0
2871,7.2e-4,0.12,19.43,Red,M,0
3345,0.021,0.273,12.3,Red,M,1
3607,0.022,0.38,10.12,Red,M,1
3304,0.0085,0.18,13.2,Red,M,1
3150,0.0088,0.35,11.94,Red,M,1
3550,0.004,0.291,10.89,Red,M,1
3180,0.001,0.35,11.76,Red,M,1
2890,0.0034,0.24,13.46,Red,M,1
3342,0.0015,0.307,11.87,Red,M,1
2621,6e-4,0.098,12.81,Red,M,1
3158,0.00135,0.161,13.98,Red,M,1
7100,2.9e-4,0.012,14.09,Yellow,F,2
10574,1.4e-4,0.0092,12.02,Yellow,F,2
8930,5.6e-4,0.0095,13.78,Yellow,A,2
17200,9.8e-4,0.015,12.45,Blue,B,2
14100,6.7e-4,0.0089,12.17,Blue,B,2
9675,4.5e-4,0.0109,13.98,Blue,A,2
12010,7.8e-4,0.0092,12.13,Blue,B,2
10980,7.4e-4,0.0087,11.19,Blue,B,2
13720,1.8e-4,0.00892,12.97,Yellow,F,2
19860,0.0011,0.0131,11.34,Blue,B,2
5300,0.59,0.91,5.49,Yellow,F,3
4526,0.153,0.865,6.506,Yellow,K,3
4077,0.085,0.795,6.228,Yellow,K,3
4980,0.357,1.13,4.78,Yellow,K,3
9030,45,2.63,1.45,Blue,A,3
11250,672,6.98,-2.3,Blue,A,3
5112,0.63,0.876,4.68,Red,K,3
7720,7.92,1.34,2.44,Yellow,F,3
12098,689,7.01,0.02,Blue,A,3
36108,198000,10.2,-4.4,Blue,O,3
33300,240000,12,-6.5,Blue,B,4
40000,813000,14,-6.23,Blue,O,4
23000,127000,36,-5.76,Blue,O,4
17120,235000,83,-6.89,Blue,O,4
11096,112000,12,-5.91,Blue,O,4
14245,231000,42,-6.12,Blue,O,4
24630,363000,63,-5.83,Blue,O,4
12893,184000,36,-6.34,Blue,O,4
24345,142000,57,-6.24,Blue,O,4
33421,352000,67,-5.79,Blue,O,4
3459,100000,1289,-10.7,Red,M,5
3605,126000,1124,-10.81,Red,M,5
3615,200000,1635,-11.33,Red,M,5
3399,117000,1486,-10.92,Red,M,5
3610,132000,1522,-10.86,Red,M,5
3553,145000,1324,-11.03,Red,M,5
4015,282000,1534,-11.39,Red,K,5
3625,74000,876,-10.25,Red,M,5
6850,229000,1467,-10.07,Red,G,5
3780,200000,1324,-10.7,Red,M,5
3323,4.3e-4,0.0912,17.16,Red,M,0
3531,0.00093000000000000005,0.0976,19.94,Red,M,0
3218,5.4e-4,0.11,20.02,Red,M,0
3146,1.5e-4,0.0932,16.92,Red,M,0
3511,6.4e-4,0.109,17.12,Red,M,0
3225,7.6e-4,0.121,19.63,Red,M,0
2935,8.7e-4,0.0932,16.88,Red,M,0
2861,1.9e-4,0.0899,16.71,Red,M,0
2856,8.96e-4,0.0782,19.56,Red,M,0
2731,4.37e-4,0.0856,18.09,Red,M,0
